team_name,possession__your_possession_time_seconds,possession__attacking_third_possession_seconds,possession__attacking_third_possession_pct_of_team,possession__possession_pct,distribution__passes,distribution__successful_passes,distribution__intercepted_passes,distribution__unsuccessful_passes,distribution__short_passes,distribution__long_passes,distribution__crosses,distribution__through_passes,distribution__header_passes,distribution__forward_passes,distribution__lateral_passes,distribution__back_passes,distribution__passing_accuracy_pct,distribution__assists,distribution__key_passes,attack__goals,attack__shots,attack__shots_on_target,attack__shots_off_target,attack__blocked_shots,attack__shot_creating_actions,defense__tackles,defense__successful_tackles,defense__tackles_success_rate_pct,defense__clearances,defense__interceptions,defense__recoveries,defense__recoveries_attacking_third,defense__recoveries_attacking_third_pct,defense__blocks,defense__saves,general__duels,general__duels_won,general__duels_success_rate_pct,general__aerial_duels,general__ground_duels,general__offsides,general__corner_awarded,discipline__fouls_conceded,discipline__yellow_cards,discipline__red_cards,match_rating_attack,match_rating_defense,match_rating_distribution,match_rating_general,match_rating_discipline,overall_rating,outcome_score,added_at,match_number,match_id,is_synthetic,match_rating_overall
De La Salle University,1152.942,277.859,24.1,22.67,57,38,6,19,36,7,4,1,2,2,3,6,67.21,0,1,0,2,1,1,0,2,4,3,75.0,8,6,8,2,25.0,3,0,13,3,23.08,1,12,0,0,10,2,0,4.99,5.52,3.97,3.69,5.85,4.84,0.427,2025-02-07T19:21:01.011928+00:00,659,De_La_Salle_University_20251208181114_659,1,4.84
National University,2419.932,353.794,14.62,44.65,153,124,10,29,89,17,9,1,3,21,14,16,81.28,0,1,0,3,1,2,0,3,12,6,50.0,4,11,5,0,0.0,1,0,19,15,78.95,5,14,1,1,2,0,0,3.94,5.73,4.77,3.86,7.44,4.95,0.439,2025-07-17T20:28:55.011928+00:00,105,National_University_20251208181114_105,1,4.95
Mapúa University,4118.247,786.173,19.09,81.98,145,123,6,22,102,9,6,2,3,9,14,13,84.57,0,4,1,8,2,6,1,7,13,8,61.54,4,2,4,1,25.0,0,0,48,21,43.75,0,48,0,2,3,0,0,5.42,4.38,5.15,4.11,7.7,5.12,0.458,2024-12-16T13:35:23.011928+00:00,570,Mapúa_University_20251208181114_570,1,5.12
Coastal Town,2497.832,273.762,10.96,45.14,90,65,7,25,64,19,7,0,2,0,0,8,72.4,0,2,0,3,2,1,0,4,4,2,50.0,13,2,9,3,33.33,0,1,7,3,42.86,3,4,0,1,9,1,0,5.05,4.84,5.15,3.61,6.22,4.93,0.437,2025-08-12T07:41:52.011928+00:00,106,Coastal_Town_20251208181114_106,1,4.93
Lyceum,2632.323,419.066,15.92,51.42,141,110,15,31,84,11,9,5,3,15,14,11,77.86,0,3,0,4,2,2,0,3,6,4,66.67,3,4,1,0,0.0,1,1,20,8,40.0,1,19,0,1,5,0,0,4.75,4.09,4.62,3.9,6.96,4.64,0.404,2025-04-28T19:04:32.012927+00:00,720,Lyceum_20251208181114_720,1,4.64
Coastal Town,4770.742,685.079,14.36,94.9,210,143,23,67,122,19,21,4,9,18,17,7,68.16,0,2,0,7,3,4,1,7,14,8,57.14,3,1,1,0,0.0,0,0,10,6,60.0,6,4,2,1,1,1,0,5.68,5.81,6.25,4.51,6.17,5.72,0.524,2025-10-08T18:36:18.012927+00:00,993,Coastal_Town_20251208181114_993,1,5.72
Far Eastern University,3179.655,496.344,15.61,58.61,122,93,10,29,76,16,9,5,1,5,11,11,76.01,0,0,0,8,3,5,1,8,4,2,50.0,8,2,3,1,33.33,1,2,14,8,57.14,4,10,0,3,3,0,0,5.51,5.78,4.57,3.93,7.07,5.33,0.481,2025-11-20T13:35:27.012927+00:00,511,Far_Eastern_University_20251208181114_511,1,5.33
Valley Rovers,2216.686,614.909,27.74,41.43,56,45,3,11,41,3,4,1,2,3,3,7,80.25,0,1,0,5,1,4,0,4,12,7,58.33,0,7,8,1,12.5,0,1,13,7,53.85,1,12,0,0,8,1,0,4.42,5.43,4.49,4.52,6.79,4.97,0.441,2025-02-22T11:37:54.012927+00:00,989,Valley_Rovers_20251208181114_989,1,4.97
University of Santo Tomas,3914.955,968.56,24.74,72.91,223,151,27,72,167,35,13,9,8,0,0,29,67.87,0,6,1,9,3,6,0,9,15,10,66.67,3,3,2,0,0.0,2,2,26,12,46.15,11,15,0,0,5,0,0,5.96,5.3,4.75,3.27,6.86,5.25,0.472,2025-01-25T09:03:44.012927+00:00,180,University_of_Santo_Tomas_20251208181114_180,1,5.25
Far Eastern University,3216.797,534.632,16.62,63.94,138,107,4,31,94,15,10,6,2,4,7,13,77.26,0,2,1,6,2,4,1,5,10,7,70.0,2,3,6,1,16.67,0,0,5,3,60.0,1,4,0,0,5,1,0,5.62,5.35,4.87,3.6,6.11,5.16,0.462,2024-12-28T09:40:27.012927+00:00,644,Far_Eastern_University_20251208181114_644,1,5.16
Coastal Town,1216.911,79.829,6.56,23.49,36,29,3,7,23,3,2,0,1,3,4,8,79.38,0,1,0,2,0,2,0,2,1,0,0.0,17,4,15,2,13.33,3,0,6,3,50.0,2,4,0,2,2,2,0,4.49,6.51,4.64,3.83,5.68,5.11,0.457,2025-08-21T18:49:25.012927+00:00,26,Coastal_Town_20251208181114_26,1,5.11
Brookside United,2118.278,406.709,19.2,42.52,91,76,7,15,70,17,7,3,2,0,0,5,83.03,0,3,0,4,2,2,0,5,6,5,83.33,10,6,13,3,23.08,1,0,16,6,37.5,4,12,0,2,8,1,0,4.82,4.53,5.25,2.64,6.67,4.7,0.411,2025-11-07T00:44:53.012927+00:00,995,Brookside_United_20251208181114_995,1,4.7
Metro FC,2314.693,243.506,10.52,41.65,114,84,6,30,78,13,6,6,1,4,6,15,73.71,0,2,0,5,2,3,0,5,9,6,66.67,8,9,4,1,25.0,2,1,10,7,70.0,6,4,2,2,7,1,0,5.11,4.52,4.15,3.61,6.3,4.66,0.407,2025-06-10T02:47:19.012927+00:00,437,Metro_FC_20251208181114_437,1,4.66
Ateneo de Manila University,2797.284,468.545,16.75,54.27,124,93,13,31,87,5,8,2,4,9,8,13,75.11,0,1,0,4,1,3,0,4,3,2,66.67,8,5,0,0,0.0,2,1,37,22,59.46,12,25,0,0,5,0,0,4.63,6.18,4.27,3.15,6.73,4.99,0.443,2025-09-20T12:27:22.012927+00:00,992,Ateneo_de_Manila_University_20251208181114_992,1,4.99
Brookside United,2313.667,301.934,13.05,42.87,81,61,8,20,55,15,7,3,1,0,0,2,74.87,0,2,0,4,1,3,0,5,8,5,62.5,8,4,3,1,33.33,0,0,14,7,50.0,4,10,2,1,9,0,0,4.54,5.0,4.12,4.07,6.87,4.75,0.417,2025-01-26T01:26:09.013925+00:00,51,Brookside_United_20251208181114_51,1,4.75
City United,3698.797,883.643,23.89,70.44,178,124,17,54,128,29,4,6,7,2,2,19,69.49,0,3,1,9,3,6,1,10,16,11,68.75,7,6,6,1,16.67,0,0,15,4,26.67,0,15,0,1,7,1,0,6.1,4.39,4.28,3.52,6.2,4.91,0.434,2025-11-01T06:53:09.013925+00:00,91,City_United_20251208181114_91,1,4.91
Lakeside Athletic,3147.048,615.877,19.57,61.06,63,49,4,14,49,9,2,3,2,0,0,10,77.91,0,1,0,5,2,3,0,6,12,7,58.33,5,4,4,0,0.0,0,0,42,14,33.33,17,25,0,1,3,0,0,4.28,4.89,4.43,5.29,7.73,4.97,0.441,2025-09-23T06:03:00.013925+00:00,463,Lakeside_Athletic_20251208181114_463,1,4.97
De La Salle University,2363.253,548.984,23.23,43.78,84,69,6,15,52,14,8,4,2,2,3,4,81.57,0,4,1,5,2,3,0,4,8,5,62.5,7,6,5,1,20.0,1,2,7,3,42.86,2,5,0,0,1,0,0,4.7,5.83,5.11,3.04,6.59,5.06,0.451,2025-04-28T16:35:48.013925+00:00,597,De_La_Salle_University_20251208181114_597,1,5.06
Riverside FC,2281.035,305.431,13.39,43.4,117,101,7,16,72,16,5,6,0,9,9,2,86.53,0,2,0,5,1,4,0,6,10,6,60.0,3,1,6,1,16.67,2,0,31,14,45.16,17,14,1,2,8,1,0,4.7,5.46,5.1,4.38,6.52,5.13,0.459,2025-05-31T10:00:44.013925+00:00,374,Riverside_FC_20251208181114_374,1,5.13
San Beda University,5181.193,1211.881,23.39,93.0,175,134,13,41,116,18,20,5,3,6,8,7,76.84,1,3,1,6,2,4,0,6,24,16,66.67,1,0,0,0,0.0,1,1,24,12,50.0,8,16,1,0,0,0,0,5.74,5.07,5.21,3.32,7.12,5.25,0.472,2025-03-23T22:00:41.013925+00:00,327,San_Beda_University_20251208181114_327,1,5.25
San Beda University,2657.362,438.73,16.51,50.92,105,74,8,31,72,14,7,5,3,2,2,8,70.26,0,3,0,3,1,2,0,3,14,10,71.43,8,5,9,3,33.33,2,0,29,16,55.17,4,25,1,1,4,2,0,4.33,5.41,4.29,3.6,5.25,4.61,0.401,2025-05-25T05:50:36.013925+00:00,400,San_Beda_University_20251208181114_400,1,4.61
University of Santo Tomas,3079.799,295.353,9.59,56.86,173,123,20,50,126,14,13,7,3,4,5,17,71.24,0,1,1,6,3,3,0,7,6,2,33.33,8,4,5,1,20.0,0,0,25,13,52.0,9,16,0,1,4,0,0,6.19,4.69,5.02,4.49,7.56,5.44,0.493,2025-06-02T04:38:34.013925+00:00,509,University_of_Santo_Tomas_20251208181114_509,1,5.44
Lakeside Athletic,2850.167,563.478,19.77,54.75,131,83,17,48,94,15,10,6,3,1,2,12,63.21,0,4,0,2,1,1,0,2,6,2,33.33,10,0,12,2,16.67,1,0,30,18,60.0,13,17,0,0,4,1,0,4.69,4.13,4.18,4.3,6.0,4.51,0.39,2025-03-01T13:27:45.013925+00:00,782,Lakeside_Athletic_20251208181114_782,1,4.51
Brookside United,2065.312,163.779,7.93,41.11,156,111,11,45,96,20,1,10,5,9,15,7,71.26,0,4,0,3,1,2,0,3,6,4,66.67,11,7,12,2,16.67,0,0,18,8,44.44,3,15,0,2,8,0,0,4.52,4.92,5.11,3.62,6.66,4.84,0.427,2025-02-02T05:53:42.013925+00:00,906,Brookside_United_20251208181114_906,1,4.84
Northbridge FC,2475.242,408.415,16.5,49.53,77,70,1,7,49,5,2,3,0,8,10,4,91.0,0,2,0,4,2,2,0,3,10,7,70.0,6,9,7,0,0.0,2,0,26,12,46.15,11,15,0,2,7,1,0,4.31,5.41,4.68,3.87,6.15,4.81,0.423,2025-07-01T11:16:33.014989+00:00,43,Northbridge_FC_20251208181114_43,1,4.81
University of Santo Tomas,3606.602,180.33,5.0,64.25,163,103,13,60,114,14,13,5,5,6,5,15,62.98,0,2,0,7,2,5,1,8,17,10,58.82,5,2,4,1,25.0,2,0,36,13,36.11,7,29,0,3,4,1,0,4.96,5.71,5.08,3.96,6.47,5.21,0.468,2025-11-19T13:11:53.014989+00:00,511,University_of_Santo_Tomas_20251208181114_511,1,5.21
2 Worlds FC,1755.145,338.216,19.27,32.74,63,42,6,21,42,7,7,2,1,3,2,7,66.39,0,1,0,3,1,2,0,2,5,2,40.0,14,8,17,3,17.65,1,0,5,3,60.0,2,3,0,0,10,2,0,4.55,5.63,4.2,4.21,5.96,4.88,0.431,2025-05-11T23:55:00.014989+00:00,824,2_Worlds_FC_20251208181114_824,1,4.88
Brookside United,3452.099,847.145,24.54,65.46,106,69,11,37,66,0,2,2,2,20,14,7,65.39,0,1,1,5,1,4,0,7,11,5,45.45,11,7,5,1,20.0,0,0,0,0,32.41,0,0,0,0,3,1,0,4.84,4.75,4.52,5.34,6.66,5.0,0.444,2025-10-29T05:34:36.014989+00:00,943,Brookside_United_20251208181114_943,1,5.0
Lakeside Athletic,2414.348,627.489,25.99,47.35,52,37,6,15,36,5,2,1,1,5,3,1,72.07,0,1,0,4,1,3,0,2,0,0,64.81,5,8,18,3,16.67,2,0,8,3,37.5,2,6,0,2,5,0,0,4.03,4.81,4.89,2.75,7.23,4.56,0.396,2025-07-13T16:49:24.014989+00:00,672,Lakeside_Athletic_20251208181114_672,1,4.56
San Beda University,2350.168,390.598,16.62,41.93,113,87,6,26,70,12,13,2,2,7,8,11,76.71,0,2,0,6,2,4,0,6,13,5,38.46,10,3,13,3,23.08,1,1,23,11,47.83,8,15,0,0,4,2,0,4.37,5.26,4.17,4.31,5.46,4.68,0.409,2025-03-26T06:51:54.014989+00:00,306,San_Beda_University_20251208181114_306,1,4.68
University of the Philippines,3413.742,522.303,15.3,61.38,197,126,20,71,145,31,20,3,3,0,0,13,63.95,1,4,1,6,1,5,1,7,9,5,55.56,5,2,4,1,25.0,1,1,31,17,54.84,6,25,0,0,4,0,0,5.52,5.02,5.33,4.5,6.6,5.31,0.479,2025-05-20T08:55:22.014989+00:00,655,University_of_the_Philippines_20251208181114_655,1,5.31
San Beda University,2573.571,531.957,20.67,49.09,86,70,5,16,72,13,8,2,2,0,0,10,81.54,0,0,1,7,1,6,1,7,18,9,50.0,12,9,15,6,40.0,1,2,17,9,52.94,0,17,0,2,3,0,0,4.82,5.78,4.86,5.33,7.21,5.41,0.49,2025-01-04T02:55:24.014989+00:00,764,San_Beda_University_20251208181114_764,1,5.41
Brookside United,2476.831,544.407,21.98,44.43,117,73,12,44,86,7,9,4,2,5,4,11,62.63,0,2,0,5,2,3,1,5,5,3,60.0,5,10,0,0,0.0,1,2,6,2,33.33,3,3,1,1,5,0,0,5.53,4.84,3.68,3.42,7.38,4.86,0.429,2025-09-04T22:36:07.014989+00:00,785,Brookside_United_20251208181114_785,1,4.86
Coastal Town,2980.239,393.392,13.2,54.92,107,66,14,41,57,9,5,3,2,17,15,3,61.4,0,2,0,5,2,3,1,3,13,10,76.92,5,1,0,0,0.0,0,3,24,13,54.17,6,18,1,1,4,1,0,5.3,5.04,4.03,3.46,6.03,4.79,0.421,2025-07-28T05:05:35.015929+00:00,247,Coastal_Town_20251208181114_247,1,4.79
Valley Rovers,2392.774,815.457,34.08,45.23,102,74,15,28,74,16,5,1,3,2,2,10,72.89,0,1,0,5,2,3,0,7,8,4,50.0,5,9,0,0,0.0,0,3,25,17,68.0,0,25,0,0,5,0,0,4.96,4.64,5.37,4.16,6.79,5.02,0.447,2025-01-20T09:45:40.015929+00:00,904,Valley_Rovers_20251208181114_904,1,5.02
De La Salle University,2828.075,622.176,22.0,53.73,173,130,10,43,146,15,10,5,2,0,0,25,75.18,0,3,1,5,1,4,1,6,6,3,50.0,5,4,3,1,33.33,3,0,23,11,47.83,4,19,0,1,9,1,0,4.75,4.03,5.26,4.18,6.35,4.73,0.414,2025-04-29T18:42:25.015929+00:00,725,De_La_Salle_University_20251208181114_725,1,4.73
2 Worlds FC,2377.196,776.154,32.65,42.44,107,77,13,30,72,18,4,2,2,6,4,6,72.34,0,2,1,5,2,3,0,6,1,1,100.0,7,2,6,2,33.33,0,0,17,5,29.41,4,13,0,1,3,1,0,5.51,4.0,4.13,2.7,5.8,4.45,0.383,2025-06-24T17:06:31.015929+00:00,580,2_Worlds_FC_20251208181114_580,1,4.45
Mapúa University,3339.559,588.43,17.62,64.24,169,128,12,41,111,11,16,7,4,5,14,17,76.0,0,1,1,5,2,3,0,5,11,7,63.64,6,6,3,1,33.33,2,2,34,15,44.12,13,21,0,2,8,2,0,5.95,5.38,4.9,4.63,5.82,5.38,0.487,2025-03-31T12:52:27.015929+00:00,803,Mapúa_University_20251208181114_803,1,5.38
De La Salle University,2996.512,326.919,10.91,57.08,163,130,10,33,118,20,17,4,3,1,1,17,79.97,0,1,1,5,2,3,1,3,10,4,40.0,13,5,8,3,37.5,0,1,8,4,50.0,2,6,1,1,2,1,0,5.57,4.78,4.32,2.61,6.09,4.74,0.416,2025-04-16T10:33:15.015929+00:00,172,De_La_Salle_University_20251208181114_172,1,4.74
Lakeside Athletic,2335.843,663.146,28.39,42.48,94,79,3,15,56,11,6,5,2,3,11,18,83.6,0,2,0,4,1,3,0,4,12,6,50.0,7,5,9,1,11.11,0,3,24,11,45.83,3,21,0,0,6,0,0,3.89,4.27,4.83,3.76,6.82,4.46,0.384,2024-12-25T20:45:27.015929+00:00,817,Lakeside_Athletic_20251208181114_817,1,4.46
Valley Rovers,2733.864,580.946,21.25,52.66,86,57,10,29,68,16,9,3,2,0,0,8,66.09,0,1,1,5,2,3,0,5,4,2,50.0,5,7,7,2,28.57,2,0,21,13,61.9,6,15,1,1,5,0,0,4.91,5.49,3.8,4.42,7.84,5.07,0.452,2025-11-05T21:10:00.015929+00:00,155,Valley_Rovers_20251208181114_155,1,5.07
University of the Philippines,2809.737,414.717,14.76,54.25,109,93,3,16,82,9,4,2,1,4,7,4,85.05,0,1,0,4,1,3,0,4,8,5,62.5,6,2,5,1,20.0,1,0,9,2,22.22,0,9,0,1,6,1,0,5.06,5.14,5.11,3.96,6.81,5.11,0.457,2025-03-24T18:24:35.015929+00:00,819,University_of_the_Philippines_20251208181114_819,1,5.11
Coastal Town,806.882,51.963,6.44,14.91,40,25,5,15,28,7,3,1,1,0,0,3,62.88,0,1,0,2,1,1,0,1,5,4,80.0,14,0,7,2,28.57,3,0,9,4,44.44,1,8,1,0,14,1,0,3.68,4.75,3.55,3.8,5.85,4.19,0.354,2025-09-14T19:45:14.015929+00:00,419,Coastal_Town_20251208181114_419,1,4.19
Far Eastern University,2531.769,571.927,22.59,50.57,111,81,16,30,71,12,6,2,2,12,6,16,73.04,0,3,0,2,1,1,0,3,8,6,75.0,10,1,5,1,20.0,0,0,24,8,33.33,1,23,1,1,4,2,0,5.1,5.94,4.57,4.06,5.53,5.13,0.459,2025-04-17T19:04:25.016928+00:00,804,Far_Eastern_University_20251208181114_804,1,5.13
City United,1274.8,168.401,13.21,25.45,50,34,7,16,36,6,6,1,2,0,0,3,68.11,0,1,0,2,1,1,0,3,4,3,75.0,10,7,8,1,12.5,2,0,7,3,42.86,1,6,2,1,11,0,0,5.28,4.29,3.81,4.69,7.2,4.82,0.424,2025-10-01T20:34:20.016928+00:00,871,City_United_20251208181114_871,1,4.82
National University,2557.107,438.032,17.13,47.19,100,87,6,13,67,13,9,4,2,2,4,5,87.31,0,3,0,4,2,2,0,4,6,3,50.0,6,2,9,2,22.22,0,0,21,11,52.38,2,19,0,3,4,1,0,5.46,3.96,5.28,3.66,6.51,4.86,0.429,2025-01-05T07:12:17.016928+00:00,532,National_University_20251208181114_532,1,4.86
Adamson University,1442.723,297.489,20.62,26.91,64,48,5,16,39,8,2,1,2,5,7,4,74.83,0,1,0,2,1,1,0,2,7,4,57.14,10,7,10,2,20.0,3,0,9,6,66.67,2,7,0,0,10,0,0,4.2,5.79,5.52,4.43,7.16,5.24,0.471,2025-06-24T03:57:41.016928+00:00,531,Adamson_University_20251208181114_531,1,5.24
Northbridge FC,2675.151,211.069,7.89,49.68,125,97,8,28,94,14,8,8,4,0,0,17,77.51,0,2,1,5,2,3,0,4,11,5,45.45,3,8,11,1,9.09,3,0,29,12,41.38,8,21,1,1,2,0,0,5.4,5.62,4.63,5.05,7.67,5.49,0.499,2025-10-10T09:52:17.016928+00:00,650,Northbridge_FC_20251208181114_650,1,5.49
Valley Rovers,1752.285,375.339,21.42,35.07,59,40,7,19,42,10,7,2,1,0,0,3,68.61,0,0,0,3,1,2,0,4,5,3,60.0,0,8,9,1,11.11,1,0,12,6,50.0,4,8,1,1,12,0,0,4.61,4.35,4.36,4.89,6.8,4.75,0.417,2025-08-05T12:42:19.016928+00:00,3,Valley_Rovers_20251208181114_3,1,4.75
San Beda University,2045.319,423.995,20.73,39.39,83,61,6,22,58,10,2,0,2,4,6,4,73.04,0,2,0,4,2,2,0,5,6,3,50.0,11,6,11,2,18.18,1,0,12,7,58.33,3,9,0,2,7,0,0,4.62,5.38,4.95,4.3,7.3,5.12,0.458,2025-09-20T14:20:26.016928+00:00,955,San_Beda_University_20251208181114_955,1,5.12
University of Santo Tomas,1568.88,169.125,10.78,29.77,88,65,7,23,61,10,7,3,2,2,3,1,73.34,0,2,0,3,1,2,0,4,3,2,66.67,10,4,13,3,23.08,0,0,13,7,53.85,5,8,0,2,12,0,0,5.22,4.58,4.28,4.19,7.12,4.9,0.433,2025-11-05T10:59:15.016928+00:00,461,University_of_Santo_Tomas_20251208181114_461,1,4.9
Lakeside Athletic,3797.09,1100.776,28.99,68.97,170,119,17,51,112,21,2,3,3,13,15,12,70.06,0,4,1,11,5,6,1,12,6,4,66.67,6,3,5,1,20.0,2,0,10,6,60.0,0,10,1,1,1,0,0,5.08,5.09,4.86,4.48,7.36,5.18,0.464,2025-07-18T16:03:15.017927+00:00,829,Lakeside_Athletic_20251208181114_829,1,5.18
Coastal Town,4014.624,545.989,13.6,77.21,175,98,15,77,130,21,17,6,1,0,0,0,56.28,0,1,1,9,3,6,1,11,7,3,42.86,2,2,6,2,33.33,3,0,48,23,47.92,13,35,1,3,4,1,0,5.57,3.97,3.81,4.06,6.61,4.66,0.407,2025-06-26T16:01:08.017927+00:00,543,Coastal_Town_20251208181114_543,1,4.66
San Beda University,1162.877,115.241,9.91,21.26,48,37,5,11,37,5,4,1,1,0,0,5,77.1,0,1,0,2,1,1,0,2,4,2,50.0,8,7,8,3,37.5,3,2,6,1,16.67,4,2,0,0,1,0,0,4.42,5.33,5.14,3.84,7.19,5.01,0.446,2025-06-28T12:04:29.017927+00:00,152,San_Beda_University_20251208181114_152,1,5.01
De La Salle University,2045.048,176.488,8.63,37.68,54,39,1,15,39,6,4,2,1,1,1,4,71.98,0,1,0,3,1,2,0,4,3,2,66.67,7,11,13,2,15.38,2,0,19,11,57.89,5,14,0,1,5,0,0,4.06,5.35,5.57,4.84,7.92,5.22,0.469,2025-09-19T16:14:15.017927+00:00,842,De_La_Salle_University_20251208181114_842,1,5.22
University of the Philippines,2737.533,612.386,22.37,50.51,87,69,4,18,60,13,5,3,0,2,3,9,79.44,0,2,0,4,1,3,0,5,17,11,64.71,6,7,2,0,0.0,2,1,39,16,41.03,14,25,0,2,5,1,0,4.71,5.73,4.01,4.4,5.37,4.88,0.431,2025-02-10T09:54:14.017927+00:00,340,University_of_the_Philippines_20251208181114_340,1,4.88
Highland Wanderers,2118.032,445.634,21.04,38.42,53,31,7,22,35,2,4,1,1,6,4,2,58.96,0,1,1,4,1,3,0,4,6,3,50.0,7,0,15,0,0.0,2,0,15,11,73.33,5,10,0,0,8,1,0,5.47,3.96,4.48,3.7,6.06,4.66,0.407,2025-05-08T14:05:26.017927+00:00,63,Highland_Wanderers_20251208181114_63,1,4.66
Riverside FC,3228.16,822.535,25.48,59.13,181,144,11,37,121,20,9,9,3,10,8,8,79.41,0,3,1,7,2,5,0,10,9,6,66.67,6,0,6,1,16.67,1,0,38,18,47.37,8,30,0,2,6,0,0,5.38,4.55,5.61,3.89,7.38,5.19,0.466,2025-04-03T23:22:56.017927+00:00,154,Riverside_FC_20251208181114_154,1,5.19
