player_name,team_title,games,time,shots_on_target_against,goals_against,xG_against,post_shot_xG,saves,penalty_saved,saves_per90,shots_on_target_against_per90,goals_against_per90,save_pct,season,league
"Perez, Angelo",Lyceum,10,46020.0,12,7,3.426,3.121,5,0,0.587,1.408,0.821,41.67,2025,Philippine College
"Bacnis, Hugo",National University,11,54648.0,12,1,2.66,2.728,11,0,1.087,1.186,0.099,91.67,2025,Philippine College
"Tabelin, Kirvy",Ateneo de Manila University,12,57096.0,16,5,2.86,3.202,11,0,1.04,1.513,0.473,68.75,2023,Philippine College
"Acebedo, James",Mapúa University,12,60120.0,30,13,2.833,4.035,17,0,1.527,2.695,1.168,56.67,2023,Philippine College
"Salingay, Sam",Lyceum,10,47040.0,15,7,2.04,2.034,8,0,0.918,1.722,0.804,53.33,2025,Philippine College
"Tabelin, Kirvy",University of the Philippines,10,49920.0,21,7,5.029,5.308,14,0,1.514,2.272,0.757,66.67,2024,Philippine College
"Tagara, Pedro",De La Salle University,14,62916.0,23,8,4.494,3.777,15,0,1.287,1.974,0.687,65.22,2023,Philippine College
"Fernandez, Laurence",Mapúa University,15,71820.0,34,15,6.279,6.434,19,0,1.429,2.556,1.128,55.88,2024,Philippine College
"Aningalan, Jul",Adamson University,11,51348.0,30,8,5.043,4.961,22,0,2.314,3.155,0.841,73.33,2024,Philippine College
"Santos, Luis",Ateneo de Manila University,13,67392.0,27,12,5.866,5.447,15,0,1.202,2.163,0.962,55.56,2025,Philippine College
"Acebedo, James",University of the Philippines,13,61854.0,16,7,5.475,5.106,9,0,0.786,1.397,0.611,56.25,2023,Philippine College
"Perez, Angelo",San Beda University,15,69300.0,32,16,8.63,8.382,16,0,1.247,2.494,1.247,50.0,2024,Philippine College
"Perez, Angelo",Mapúa University,15,69030.0,27,7,5.377,6.37,20,0,1.565,2.112,0.548,74.07,2025,Philippine College
"Mapula, Paul",De La Salle University,13,64740.0,13,3,5.798,5.048,10,0,0.834,1.084,0.25,76.92,2023,Philippine College
"Barro, Harvy",Mapúa University,12,63432.0,16,9,2.981,3.751,7,0,0.596,1.362,0.766,43.75,2025,Philippine College
"Tabelin, Kirvy",Adamson University,12,52632.0,11,2,2.984,3.063,9,0,0.923,1.129,0.205,81.82,2023,Philippine College
"Santos, Luis",De La Salle University,12,54072.0,16,6,3.401,3.583,10,0,0.999,1.598,0.599,62.5,2024,Philippine College
"Bacaycay, Kurt",Mapúa University,12,66528.0,10,2,1.553,1.229,8,0,0.649,0.812,0.162,80.0,2023,Philippine College
"Salingay, Sam",Adamson University,10,50700.0,15,4,4.158,3.778,11,0,1.172,1.598,0.426,73.33,2023,Philippine College
"Lopez, Ryan",Ateneo de Manila University,11,52404.0,23,9,1.89,1.792,14,0,1.443,2.37,0.927,60.87,2025,Philippine College
"Lopez, Ryan",National University,14,67536.0,26,7,1.906,2.386,19,0,1.519,2.079,0.56,73.08,2025,Philippine College
"Barro, Harvy",Adamson University,15,77310.0,11,4,3.789,3.734,7,0,0.489,0.768,0.279,63.64,2025,Philippine College
"Escodo, Bel",National University,10,52980.0,16,9,4.053,4.239,7,0,0.713,1.631,0.917,43.75,2024,Philippine College
"Encaya, Pius",Ateneo de Manila University,14,76188.0,34,12,6.36,6.377,22,0,1.559,2.41,0.851,64.71,2025,Philippine College
"Libarnes, Jaro",San Beda University,10,50820.0,17,8,2.505,2.684,9,0,0.956,1.806,0.85,52.94,2023,Philippine College
"Escodo, Bel",San Beda University,15,85500.0,27,10,7.635,7.872,17,0,1.074,1.705,0.632,62.96,2025,Philippine College
"Barro, Harvy",Lyceum,10,40680.0,18,6,3.434,2.953,12,0,1.593,2.389,0.796,66.67,2025,Philippine College
"Encaya, Pius",Ateneo de Manila University,10,54180.0,26,13,4.242,4.249,13,0,1.296,2.591,1.296,50.0,2023,Philippine College
"Reyes, Mark",University of Santo Tomas,11,55902.0,16,8,3.897,4.711,8,0,0.773,1.546,0.773,50.0,2025,Philippine College
"Tabelin, Kirvy",San Beda University,11,46530.0,6,1,1.5,2.052,5,0,0.58,0.696,0.116,83.33,2023,Philippine College
"Tagara, Pedro",University of the Philippines,14,70812.0,18,11,4.014,3.735,7,0,0.534,1.373,0.839,38.89,2025,Philippine College
"Libarnes, Jaro",De La Salle University,10,49500.0,17,7,4.755,4.766,10,0,1.091,1.855,0.764,58.82,2024,Philippine College
"Acebedo, James",National University,15,70740.0,18,9,4.562,4.793,9,0,0.687,1.374,0.687,50.0,2024,Philippine College
"Fernandez, Laurence",De La Salle University,12,56880.0,20,9,3.465,3.633,11,0,1.044,1.899,0.854,55.0,2025,Philippine College
"Salingay, Sam",National University,12,54360.0,26,12,7.03,6.662,14,0,1.391,2.583,1.192,53.85,2024,Philippine College
"Omitade, Edvard",Adamson University,12,62712.0,19,5,5.378,6.214,14,0,1.206,1.636,0.431,73.68,2024,Philippine College
"Tagara, Pedro",Mapúa University,11,58476.0,23,8,6.105,5.902,15,0,1.385,2.124,0.739,65.22,2024,Philippine College
"Perez, Angelo",Adamson University,10,51540.0,31,11,5.422,5.585,20,0,2.095,3.248,1.153,64.52,2023,Philippine College
"Reyes, Mark",University of the Philippines,15,71100.0,21,6,3.564,3.945,15,0,1.139,1.595,0.456,71.43,2024,Philippine College
"Escodo, Bel",Ateneo de Manila University,14,75432.0,15,3,3.952,3.693,12,0,0.859,1.074,0.215,80.0,2024,Philippine College
"Reyes, Mark",National University,11,58212.0,38,10,10.226,10.138,28,0,2.597,3.525,0.928,73.68,2024,Philippine College
"Reyes, Mark",Adamson University,14,76272.0,49,16,14.396,14.334,33,0,2.336,3.469,1.133,67.35,2024,Philippine College
"Tabelin, Kirvy",Mapúa University,11,49236.0,21,7,5.961,6.498,14,0,1.535,2.303,0.768,66.67,2023,Philippine College
"Bacaycay, Kurt",Ateneo de Manila University,15,77220.0,31,7,10.712,9.702,24,0,1.678,2.168,0.49,77.42,2025,Philippine College
"Barro, Harvy",Far Eastern University,11,58806.0,20,8,4.957,4.634,12,0,1.102,1.837,0.735,60.0,2023,Philippine College
"Cruz, Jan",National University,11,54978.0,20,7,2.059,2.009,13,0,1.277,1.964,0.688,65.0,2025,Philippine College
"Libarnes, Jaro",Mapúa University,12,59976.0,26,8,2.768,2.063,18,0,1.621,2.341,0.72,69.23,2024,Philippine College
"Bacaycay, Kurt",De La Salle University,10,48840.0,7,0,0.506,1.072,7,0,0.774,0.774,0.0,100.0,2025,Philippine College
"Lopez, Ryan",Ateneo de Manila University,11,53922.0,17,5,2.307,2.304,12,0,1.202,1.702,0.501,70.59,2024,Philippine College
"Cruz, Jan",Lyceum,15,75960.0,28,9,6.314,6.146,19,0,1.351,1.991,0.64,67.86,2025,Philippine College
"Bacnis, Hugo",Adamson University,13,74100.0,38,12,7.118,8.26,26,0,1.895,2.769,0.874,68.42,2025,Philippine College
"Tagara, Pedro",University of Santo Tomas,12,54216.0,28,9,5.961,5.552,19,0,1.892,2.789,0.896,67.86,2024,Philippine College
"Santos, Luis",Adamson University,13,59982.0,23,4,2.915,3.232,19,0,1.711,2.071,0.36,82.61,2024,Philippine College
"Salingay, Sam",University of Santo Tomas,12,59400.0,20,10,5.359,5.013,10,0,0.909,1.818,0.909,50.0,2024,Philippine College
"Bacnis, Hugo",San Beda University,10,51660.0,23,13,5.831,6.274,10,0,1.045,2.404,1.359,43.48,2023,Philippine College
"Tagara, Pedro",Ateneo de Manila University,11,55110.0,10,3,3.779,3.417,7,0,0.686,0.98,0.294,70.0,2023,Philippine College
"Bacnis, Hugo",Far Eastern University,14,67872.0,9,5,1.944,2.042,4,0,0.318,0.716,0.398,44.44,2025,Philippine College
"Aningalan, Jul",De La Salle University,10,50460.0,21,9,5.379,5.836,12,0,1.284,2.247,0.963,57.14,2023,Philippine College
"Santos, Luis",National University,12,68400.0,30,11,4.332,4.846,19,0,1.5,2.368,0.868,63.33,2024,Philippine College
"Lopez, Ryan",De La Salle University,14,66444.0,11,3,1.487,0.813,8,0,0.65,0.894,0.244,72.73,2024,Philippine College
"Lopez, Ryan",Ateneo de Manila University,15,69390.0,31,13,4.19,4.482,18,0,1.401,2.412,1.012,58.06,2023,Philippine College
"Escodo, Bel",San Beda University,15,81990.0,29,12,10.767,11.781,17,0,1.12,1.91,0.79,58.62,2024,Philippine College
"Libarnes, Jaro",University of the Philippines,10,45720.0,18,3,2.142,2.329,15,0,1.772,2.126,0.354,83.33,2025,Philippine College
"Aningalan, Jul",Mapúa University,14,70140.0,32,18,9.481,10.131,14,0,1.078,2.464,1.386,43.75,2024,Philippine College
"Fernandez, Laurence",San Beda University,11,57552.0,21,5,2.652,2.927,16,0,1.501,1.97,0.469,76.19,2023,Philippine College
"Perez, Angelo",National University,14,75768.0,27,11,6.096,6.421,16,0,1.14,1.924,0.784,59.26,2023,Philippine College
"Salingay, Sam",University of Santo Tomas,10,49020.0,13,7,3.027,3.168,6,0,0.661,1.432,0.771,46.15,2025,Philippine College
"Aningalan, Jul",Ateneo de Manila University,15,81990.0,30,15,3.683,3.749,15,0,0.988,1.976,0.988,50.0,2025,Philippine College
"Escodo, Bel",Far Eastern University,14,63756.0,13,6,4.018,3.869,7,0,0.593,1.101,0.508,53.85,2024,Philippine College
"Santos, Luis",Ateneo de Manila University,14,69552.0,26,12,8.93,8.434,14,0,1.087,2.019,0.932,53.85,2025,Philippine College
"Encaya, Pius",Ateneo de Manila University,15,77490.0,18,2,5.299,5.738,16,0,1.115,1.254,0.139,88.89,2023,Philippine College
"Tabelin, Kirvy",Adamson University,12,58752.0,14,7,2.482,3.131,7,0,0.643,1.287,0.643,50.0,2024,Philippine College
"Encaya, Pius",National University,13,64350.0,19,4,3.733,4.046,15,0,1.259,1.594,0.336,78.95,2024,Philippine College
"Barro, Harvy",San Beda University,10,51240.0,12,6,3.724,3.93,6,0,0.632,1.265,0.632,50.0,2024,Philippine College
"Barro, Harvy",Far Eastern University,13,57174.0,18,10,6.316,6.576,8,0,0.756,1.7,0.944,44.44,2023,Philippine College
"Tabelin, Kirvy",Far Eastern University,10,49200.0,25,12,6.776,6.296,13,0,1.427,2.744,1.317,52.0,2024,Philippine College
"Escodo, Bel",Lyceum,10,52860.0,17,7,4.311,4.218,10,0,1.022,1.737,0.715,58.82,2023,Philippine College
"Libarnes, Jaro",De La Salle University,15,72360.0,7,3,1.051,1.46,4,0,0.299,0.522,0.224,57.14,2025,Philippine College
"Perez, Angelo",National University,11,53526.0,15,5,2.539,2.478,10,0,1.009,1.513,0.504,66.67,2023,Philippine College
"Fernandez, Laurence",University of Santo Tomas,10,46080.0,23,9,7.287,7.21,14,0,1.641,2.695,1.055,60.87,2023,Philippine College
"Lopez, Ryan",Lyceum,13,61464.0,17,4,4.549,4.397,13,0,1.142,1.494,0.351,76.47,2023,Philippine College
"Tabelin, Kirvy",University of Santo Tomas,14,70140.0,32,11,7.364,7.848,21,0,1.617,2.464,0.847,65.62,2024,Philippine College
"Tagara, Pedro",De La Salle University,14,72828.0,32,11,5.821,7.175,21,0,1.557,2.373,0.816,65.62,2023,Philippine College
"Bacaycay, Kurt",De La Salle University,14,66780.0,8,3,2.076,2.007,5,0,0.404,0.647,0.243,62.5,2025,Philippine College
"Mapula, Paul",San Beda University,12,56664.0,17,9,3.146,3.173,8,0,0.762,1.62,0.858,47.06,2023,Philippine College
"Escodo, Bel",Mapúa University,12,62064.0,33,18,6.725,6.69,15,0,1.305,2.871,1.566,45.45,2024,Philippine College
"Santos, Luis",University of the Philippines,14,65604.0,23,3,2.891,3.021,20,0,1.646,1.893,0.247,86.96,2025,Philippine College
"Acebedo, James",Adamson University,14,77112.0,23,7,4.573,4.234,16,0,1.12,1.611,0.49,69.57,2025,Philippine College
"Acebedo, James",National University,10,42420.0,17,6,2.888,2.613,11,2,1.4,2.164,0.764,64.71,2024,Philippine College
"Cruz, Jan",University of Santo Tomas,13,61308.0,22,7,6.609,6.682,15,0,1.321,1.938,0.617,68.18,2023,Philippine College
"Reyes, Mark",De La Salle University,13,66690.0,15,7,4.32,4.475,8,0,0.648,1.215,0.567,53.33,2025,Philippine College
"Omitade, Edvard",Mapúa University,15,79020.0,28,3,6.312,6.471,25,0,1.708,1.913,0.205,89.29,2023,Philippine College
"Digal, Diegocarl",Mapúa University,13,66222.0,6,2,2.037,2.319,4,0,0.326,0.489,0.163,66.67,2023,Philippine College
"Tabelin, Kirvy",Adamson University,11,49500.0,13,3,4.026,3.71,10,0,1.091,1.418,0.327,76.92,2023,Philippine College
"Escodo, Bel",Adamson University,14,70812.0,18,2,1.427,2.113,16,0,1.22,1.373,0.153,88.89,2024,Philippine College
"Mapula, Paul",National University,12,63360.0,29,14,4.174,4.228,15,0,1.278,2.472,1.193,51.72,2023,Philippine College
"Digal, Diegocarl",De La Salle University,12,59112.0,21,7,5.167,5.053,14,0,1.279,1.918,0.639,66.67,2023,Philippine College
"Acebedo, James",Ateneo de Manila University,11,57684.0,32,16,6.262,6.067,16,0,1.498,2.996,1.498,50.0,2023,Philippine College
"Santos, Luis",Far Eastern University,10,48600.0,18,7,2.931,3.099,11,0,1.222,2.0,0.778,61.11,2025,Philippine College
"Tabelin, Kirvy",San Beda University,15,77130.0,34,13,3.755,3.843,21,0,1.47,2.38,0.91,61.76,2023,Philippine College
"Cruz, Jan",Far Eastern University,15,78930.0,29,9,9.551,9.963,20,0,1.368,1.984,0.616,68.97,2023,Philippine College
"Reyes, Mark",Far Eastern University,13,71370.0,36,13,4.903,4.83,23,0,1.74,2.724,0.984,63.89,2024,Philippine College
"Acebedo, James",Lyceum,14,65604.0,15,10,3.102,2.342,5,0,0.412,1.235,0.823,33.33,2025,Philippine College
"Salingay, Sam",University of the Philippines,15,71010.0,40,22,5.881,5.128,18,0,1.369,3.042,1.673,45.0,2023,Philippine College
"Reyes, Mark",Adamson University,12,63504.0,28,12,5.106,5.074,16,0,1.361,2.381,1.02,57.14,2023,Philippine College
"Mapula, Paul",Lyceum,10,53580.0,28,9,4.716,5.267,19,0,1.915,2.822,0.907,67.86,2024,Philippine College
"Omitade, Edvard",Mapúa University,10,53940.0,18,11,5.083,5.042,7,0,0.701,1.802,1.101,38.89,2024,Philippine College
"Santos, Luis",National University,15,71190.0,20,9,2.867,2.228,11,0,0.834,1.517,0.683,55.0,2023,Philippine College
"Reyes, Mark",University of Santo Tomas,14,75432.0,32,20,6.191,5.528,12,0,0.859,2.291,1.432,37.5,2024,Philippine College
"Tagara, Pedro",De La Salle University,14,76524.0,28,13,8.913,9.729,15,0,1.058,1.976,0.917,53.57,2025,Philippine College
"Perez, Angelo",University of Santo Tomas,13,68952.0,27,7,7.04,7.755,20,0,1.566,2.115,0.548,74.07,2024,Philippine College
"Bacaycay, Kurt",Adamson University,14,69468.0,21,11,5.146,4.525,10,0,0.777,1.632,0.855,47.62,2025,Philippine College
"Escodo, Bel",Lyceum,12,54720.0,15,5,3.89,3.743,10,0,0.987,1.48,0.493,66.67,2025,Philippine College
"Fernandez, Laurence",National University,14,65940.0,23,8,3.223,2.938,15,0,1.228,1.884,0.655,65.22,2024,Philippine College
"Aningalan, Jul",Adamson University,11,52074.0,21,7,5.932,6.124,14,0,1.452,2.178,0.726,66.67,2023,Philippine College
"Tabelin, Kirvy",National University,12,62136.0,13,3,3.182,3.252,10,0,0.869,1.13,0.261,76.92,2023,Philippine College
"Tabelin, Kirvy",University of Santo Tomas,11,45738.0,13,8,1.929,2.294,5,0,0.59,1.535,0.945,38.46,2023,Philippine College
"Acebedo, James",Adamson University,13,62556.0,20,6,2.306,2.17,14,0,1.209,1.726,0.518,70.0,2023,Philippine College
"Acebedo, James",Adamson University,11,49566.0,20,9,2.387,2.55,11,0,1.198,2.179,0.981,55.0,2025,Philippine College
"Salingay, Sam",Adamson University,11,62700.0,22,9,6.126,5.686,13,0,1.12,1.895,0.775,59.09,2023,Philippine College
"Acebedo, James",De La Salle University,14,69216.0,36,7,6.651,6.266,29,0,2.262,2.809,0.546,80.56,2023,Philippine College
"Libarnes, Jaro",University of the Philippines,10,48900.0,13,7,4.134,3.802,6,0,0.663,1.436,0.773,46.15,2024,Philippine College
"Aningalan, Jul",Lyceum,12,52416.0,30,12,3.765,3.705,18,0,1.854,3.091,1.236,60.0,2024,Philippine College
"Bacaycay, Kurt",De La Salle University,15,72630.0,35,10,4.458,5.18,25,0,1.859,2.602,0.743,71.43,2025,Philippine College
"Tagara, Pedro",Lyceum,14,63504.0,24,12,4.274,3.955,12,0,1.02,2.041,1.02,50.0,2025,Philippine College
"Salingay, Sam",Lyceum,10,44760.0,20,8,2.66,2.932,12,0,1.448,2.413,0.965,60.0,2024,Philippine College
"Aningalan, Jul",Ateneo de Manila University,12,55872.0,32,17,2.641,2.567,15,0,1.45,3.093,1.643,46.88,2025,Philippine College
"Perez, Angelo",San Beda University,15,75690.0,20,8,5.753,5.824,12,0,0.856,1.427,0.571,60.0,2023,Philippine College
"Salingay, Sam",National University,13,64350.0,16,9,3.535,3.496,7,0,0.587,1.343,0.755,43.75,2023,Philippine College
"Aningalan, Jul",De La Salle University,10,47580.0,18,7,5.446,5.238,11,0,1.248,2.043,0.794,61.11,2023,Philippine College
"Cruz, Jan",University of Santo Tomas,13,69576.0,16,8,3.079,4.382,8,0,0.621,1.242,0.621,50.0,2024,Philippine College
"Salingay, Sam",San Beda University,11,52602.0,27,10,9.565,9.192,17,0,1.745,2.772,1.027,62.96,2025,Philippine College
"Encaya, Pius",Ateneo de Manila University,11,48642.0,24,9,7.443,7.034,15,0,1.665,2.664,0.999,62.5,2024,Philippine College
"Barro, Harvy",Lyceum,10,43980.0,16,6,4.42,4.191,10,0,1.228,1.965,0.737,62.5,2024,Philippine College
"Santos, Luis",University of Santo Tomas,15,78480.0,25,10,3.358,3.206,15,0,1.032,1.72,0.688,60.0,2023,Philippine College
"Mapula, Paul",Far Eastern University,11,60588.0,17,5,3.473,3.398,12,0,1.07,1.515,0.446,70.59,2023,Philippine College
"Digal, Diegocarl",Ateneo de Manila University,14,79800.0,33,10,8.665,9.03,23,0,1.556,2.233,0.677,69.7,2023,Philippine College
"Tagara, Pedro",Ateneo de Manila University,11,52140.0,34,21,6.932,6.988,13,0,1.346,3.521,2.175,38.24,2023,Philippine College
"Bacnis, Hugo",Adamson University,11,52536.0,20,8,4.078,3.955,12,0,1.233,2.056,0.822,60.0,2025,Philippine College
"Acebedo, James",University of the Philippines,11,47652.0,16,2,3.45,3.371,14,0,1.587,1.813,0.227,87.5,2024,Philippine College
"Bacnis, Hugo",Mapúa University,10,48240.0,21,8,6.968,7.069,13,0,1.455,2.351,0.896,61.9,2025,Philippine College
"Encaya, Pius",Mapúa University,15,69030.0,6,1,1.256,1.424,5,0,0.391,0.469,0.078,83.33,2023,Philippine College
"Escodo, Bel",University of the Philippines,11,52668.0,29,13,6.673,7.319,16,0,1.64,2.973,1.333,55.17,2025,Philippine College
"Acebedo, James",University of the Philippines,11,51876.0,14,4,1.528,1.145,10,0,1.041,1.457,0.416,71.43,2024,Philippine College
"Tagara, Pedro",University of Santo Tomas,12,54792.0,24,7,4.853,5.562,17,0,1.675,2.365,0.69,70.83,2023,Philippine College
"Digal, Diegocarl",University of Santo Tomas,10,52380.0,21,6,4.469,4.988,15,0,1.546,2.165,0.619,71.43,2025,Philippine College
"Barro, Harvy",Ateneo de Manila University,10,50460.0,20,7,3.146,2.981,13,0,1.391,2.14,0.749,65.0,2024,Philippine College
"Fernandez, Laurence",Far Eastern University,13,65598.0,18,7,4.346,4.407,11,0,0.906,1.482,0.576,61.11,2023,Philippine College
"Escodo, Bel",San Beda University,12,64656.0,24,6,8.102,7.221,18,0,1.503,2.004,0.501,75.0,2025,Philippine College
"Bacaycay, Kurt",Far Eastern University,11,58740.0,29,12,4.482,4.493,17,0,1.563,2.666,1.103,58.62,2024,Philippine College
"Bacaycay, Kurt",Ateneo de Manila University,14,70980.0,36,13,5.928,6.379,23,0,1.75,2.739,0.989,63.89,2023,Philippine College
"Cruz, Jan",University of the Philippines,13,66456.0,30,12,5.796,6.065,18,0,1.463,2.438,0.975,60.0,2024,Philippine College
"Escodo, Bel",Adamson University,10,43020.0,23,5,5.468,5.564,18,1,2.259,2.887,0.628,78.26,2024,Philippine College
"Salingay, Sam",Far Eastern University,15,66960.0,28,8,4.678,4.549,20,0,1.613,2.258,0.645,71.43,2024,Philippine College
"Digal, Diegocarl",Lyceum,12,60624.0,22,8,3.774,3.771,14,0,1.247,1.96,0.713,63.64,2024,Philippine College
"Tagara, Pedro",De La Salle University,11,52272.0,20,6,4.034,3.993,14,0,1.446,2.066,0.62,70.0,2023,Philippine College
"Acebedo, James",National University,11,54582.0,5,3,1.446,1.216,2,0,0.198,0.495,0.297,40.0,2025,Philippine College
"Bacnis, Hugo",San Beda University,10,42780.0,5,2,1.2,1.173,3,0,0.379,0.631,0.252,60.0,2024,Philippine College
"Santos, Luis",San Beda University,10,47880.0,17,10,3.428,3.605,7,0,0.789,1.917,1.128,41.18,2023,Philippine College
"Reyes, Mark",Lyceum,12,60984.0,12,5,2.367,1.777,7,0,0.62,1.063,0.443,58.33,2025,Philippine College
"Bacaycay, Kurt",University of Santo Tomas,12,55080.0,15,7,4.286,4.449,8,0,0.784,1.471,0.686,53.33,2023,Philippine College
"Reyes, Mark",Adamson University,12,63720.0,28,11,4.827,4.292,17,0,1.441,2.373,0.932,60.71,2024,Philippine College
"Digal, Diegocarl",University of the Philippines,14,68880.0,11,5,0.914,1.169,6,0,0.47,0.862,0.392,54.55,2025,Philippine College
"Omitade, Edvard",National University,15,68940.0,22,14,3.913,3.745,8,0,0.627,1.723,1.097,36.36,2025,Philippine College
"Salingay, Sam",Adamson University,12,58680.0,27,15,10.009,9.76,12,0,1.104,2.485,1.38,44.44,2024,Philippine College
"Reyes, Mark",Ateneo de Manila University,13,64350.0,24,6,3.141,3.547,18,0,1.51,2.014,0.503,75.0,2025,Philippine College
"Encaya, Pius",Ateneo de Manila University,14,73752.0,27,7,8.031,7.165,20,0,1.464,1.977,0.513,74.07,2023,Philippine College
"Bacnis, Hugo",University of the Philippines,15,70560.0,34,13,9.687,10.019,21,0,1.607,2.602,0.995,61.76,2024,Philippine College
"Omitade, Edvard",De La Salle University,14,64428.0,22,8,6.04,5.576,14,0,1.173,1.844,0.671,63.64,2024,Philippine College
"Barro, Harvy",Adamson University,10,54360.0,14,7,4.759,5.171,7,0,0.695,1.391,0.695,50.0,2023,Philippine College
"Barro, Harvy",Lyceum,10,50100.0,17,7,2.376,3.039,10,0,1.078,1.832,0.754,58.82,2024,Philippine College
"Fernandez, Laurence",Adamson University,15,77400.0,40,20,3.512,3.664,20,0,1.395,2.791,1.395,50.0,2024,Philippine College
"Perez, Angelo",Adamson University,15,74340.0,32,8,8.954,9.062,24,0,1.743,2.324,0.581,75.0,2024,Philippine College
"Mapula, Paul",University of Santo Tomas,14,68544.0,14,4,2.244,2.085,10,0,0.788,1.103,0.315,71.43,2025,Philippine College
"Reyes, Mark",Lyceum,10,52260.0,29,13,3.203,3.729,16,0,1.653,2.997,1.343,55.17,2024,Philippine College
"Omitade, Edvard",Adamson University,15,69390.0,19,6,2.777,2.958,13,0,1.012,1.479,0.467,68.42,2023,Philippine College
"Cruz, Jan",Mapúa University,11,57024.0,25,9,2.225,1.808,16,0,1.515,2.367,0.852,64.0,2024,Philippine College
"Barro, Harvy",San Beda University,10,45720.0,10,2,1.769,1.881,8,0,0.945,1.181,0.236,80.0,2025,Philippine College
"Digal, Diegocarl",De La Salle University,13,55848.0,20,7,5.98,5.808,13,0,1.257,1.934,0.677,65.0,2024,Philippine College
"Lopez, Ryan",Mapúa University,14,67116.0,18,8,3.802,4.096,10,0,0.805,1.448,0.644,55.56,2024,Philippine College
"Bacnis, Hugo",De La Salle University,14,72240.0,24,11,3.309,2.722,13,0,0.972,1.794,0.822,54.17,2023,Philippine College
"Salingay, Sam",Ateneo de Manila University,12,55800.0,25,10,8.289,8.09,15,0,1.452,2.419,0.968,60.0,2024,Philippine College
"Omitade, Edvard",Ateneo de Manila University,11,57486.0,16,2,5.88,6.442,14,0,1.315,1.503,0.188,87.5,2023,Philippine College
"Tagara, Pedro",National University,11,55902.0,22,4,3.35,3.542,18,1,1.739,2.125,0.386,81.82,2025,Philippine College
"Mapula, Paul",San Beda University,12,56016.0,29,13,5.645,5.512,16,0,1.542,2.796,1.253,55.17,2023,Philippine College
