<<<<<<< Updated upstream
player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,raw_stats,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,raw_possession_your_possession_time_seconds,raw_possession_possession_pct,raw_distribution_passes,raw_distribution_successful_passes,raw_distribution_unsuccessful_passes,raw_distribution_passing_accuracy_pct,raw_distribution_key_passes,raw_distribution_key_pass_rate_pct,raw_distribution_assists,raw_distribution_avg_pass_distance,raw_distribution_progressive_passes,raw_attack_shots,raw_attack_shots_on_target,raw_attack_goals,raw_attack_shot_accuracy_pct,raw_attack_goal_conversion_pct,raw_dribbles_dribbles,raw_dribbles_successful_dribbles,raw_dribbles_dribble_success_rate_pct,raw_defense_duels,raw_defense_duels_won,raw_defense_duel_success_rate_pct,raw_defense_tackles,raw_defense_successful_tackles,raw_defense_tackle_success_rate_pct,raw_defense_interceptions,raw_defense_clearances,raw_defense_recoveries,raw_defense_blocked_shots,raw_discipline_fouls_conceded,raw_discipline_yellow_cards,raw_discipline_red_cards,shots_raw,shots_on_target_raw,goals_raw,shot_accuracy_pct_raw,goal_conversion_pct_raw,passes_raw,successful_passes_raw,unsuccessful_passes_raw,passing_accuracy_pct_raw,key_passes_raw,key_pass_rate_pct_raw,assists_raw,avg_pass_distance_raw,progressive_passes_raw,duels_raw,duels_won_raw,duel_success_rate_pct_raw,tackles_raw,successful_tackles_raw,tackle_success_rate_pct_raw,interceptions_raw,clearances_raw,recoveries_raw,blocked_shots_raw,dribbles_raw,successful_dribbles_raw,dribble_success_rate_pct_raw,note,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,raw_defense_saves,raw_defense_goals_conceded,raw_goalkeeper_shots_faced,raw_goalkeeper_saves,raw_goalkeeper_goals_conceded,raw_goalkeeper_save_pct,raw_goalkeeper_shots_on_target_against,raw_goalkeeper_goals_against,match_id,match_name
Pedro Tagara,96.72,GK,36.7,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,0.0,20.47,16.75,3.72,0.0,0.0,-1.27,7.44,0.93,0.93,0.0,0.0,0.0,5.58,0.93,0.0,2.79,0.0,0.0,0.0,0.0,0.0,81.82,0.0,100.0,413.0,14.94,22.0,18.0,4.0,81.82,0.0,0.0,0.0,-1.36,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.86,2.79,2.79,1.86,33.33,0.93,1.86,2.79,0.33,0.0,2.0,3.0,1.0,2.0,33.33,3.0,2.0,16,match_16_sbu_vs_up
Pius Encaya,96.55,CF,40.9,0.0,DNP,San Beda University,0.0,0.0,0.0,0.93,0.0,0.0,10.25,8.39,1.86,0.0,0.0,-3.13,1.86,1.86,0.93,0.0,0.0,0.0,0.93,0.0,0.0,0.0,7.46,5.59,75.0,0.0,0.0,81.82,0.0,50.0,54.0,1.95,11.0,9.0,2.0,81.82,0.0,0.0,0.0,-3.36,2.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,75.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Sam Salingay,95.32,CF,53.7,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,0.0,14.16,13.22,0.94,0.94,0.0,0.8,3.78,2.83,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,5.67,85.71,0.0,0.0,93.33,6.67,100.0,75.0,2.71,15.0,14.0,1.0,93.33,1.0,6.67,0.0,0.85,4.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,85.71,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Stock Rujiro,30.27,FW,35.6,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,0.0,5.95,5.95,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,3.0,0.11,2.0,2.0,0.0,100.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Tagara, Pedro",0.0,GK,0.0,0.0,DNP,San Beda University,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Libarnes, Jaro",0.0,CB,0.0,0.0,DNP,San Beda University,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Aningalan, Jul",0.0,CB,0.0,0.0,DNP,San Beda University,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Sison, JelJel",0.0,CB,0.0,0.0,DNP,San Beda University,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Bacnis, Louie",0.0,CDM,0.0,0.0,DNP,San Beda University,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Pineda, Jaryl",0.0,LW,0.0,0.0,DNP,San Beda University,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Tabelin, Kirvy",0.0,CAM,0.0,0.0,DNP,San Beda University,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Fernandez, Laurence",0.0,RW,0.0,0.0,DNP,San Beda University,38.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Escodo, Bel",0.0,CDM,0.0,0.0,DNP,San Beda University,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Encaya, Pius",0.0,ST,0.0,0.0,DNP,San Beda University,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Salingay, Sam",0.0,ST,0.0,0.0,DNP,San Beda University,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Mellendrez, Prince",0.0,RWB,0.0,0.0,DNP,San Beda University,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Soberano, Joselito",0.0,LWB,0.0,0.0,DNP,San Beda University,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
"Rogero, Stock",0.0,RWB,0.0,0.0,DNP,San Beda University,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Unnamed,0.0,,0.0,0.0,DNP,University of the Philippines,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
=======
player_name,minutes_played,position,dpr,dpr_breakdown,status,team,number,key_stats_p90,shots_p90,shots_on_target_p90,goals_p90,passes_p90,successful_passes_p90,unsuccessful_passes_p90,key_passes_p90,assists_p90,avg_pass_distance_p90,progressive_passes_p90,duels_p90,duels_won_p90,tackles_p90,successful_tackles_p90,tackle_success_rate_pct_p90,interceptions_p90,clearances_p90,recoveries_p90,blocked_shots_p90,dribbles_p90,successful_dribbles_p90,dribble_success_rate_pct_p90,shot_accuracy_pct_p90,goal_conversion_pct_p90,passing_accuracy_pct_p90,key_pass_rate_pct_p90,duel_success_rate_pct_p90,shots_raw,shots_on_target_raw,goals_raw,shot_accuracy_pct_raw,goal_conversion_pct_raw,passes_raw,successful_passes_raw,unsuccessful_passes_raw,passing_accuracy_pct_raw,key_passes_raw,key_pass_rate_pct_raw,assists_raw,avg_pass_distance_raw,progressive_passes_raw,duels_raw,duels_won_raw,duel_success_rate_pct_raw,tackles_raw,successful_tackles_raw,tackle_success_rate_pct_raw,interceptions_raw,clearances_raw,recoveries_raw,blocked_shots_raw,dribbles_raw,successful_dribbles_raw,dribble_success_rate_pct_raw,note,saves_p90,goals_conceded_p90,shots_faced_p90,shots_on_target_against_p90,goals_against_p90,save_pct_p90,saves_per90,goals_against_per90,shots_on_target_against_per90,save_pct,match_id,match_name
Bel Escodo,95.02,CDM,38.2,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,9.47,5.68,3.79,0.0,0.0,2.44,1.89,2.84,1.89,0.0,0.0,0.0,6.63,0.0,0.0,0.0,1.89,1.89,100.0,0.0,0.0,60.0,0.0,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Cesar Ien Bayubay,78.42,FWB,53.4,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,27.55,24.1,3.44,0.0,0.0,-12.81,1.15,6.89,4.59,0.0,0.0,0.0,3.44,2.3,0.0,0.0,5.74,4.59,80.0,0.0,0.0,87.5,0.0,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Jaro Libarnes,97.35,LB,80.4,0.0,DNP,San Beda University,0.0,0.0,0.92,0.0,0.0,36.98,32.36,4.62,0.92,0.0,3.5,11.09,7.4,7.4,0.0,0.0,0.0,10.17,8.32,0.92,0.92,2.77,0.92,33.33,0.0,0.0,87.5,2.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Jaryl Pineda,94.68,LW,22.9,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,23.76,19.96,3.8,0.95,0.0,-6.87,2.85,0.0,0.0,0.0,0.0,0.0,1.9,0.95,0.0,0.95,11.41,9.51,83.33,0.0,0.0,84.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Jeljel Sison,96.97,CB,51.2,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,12.07,11.14,0.93,0.0,0.0,4.0,3.71,2.78,2.78,0.0,0.0,0.0,0.93,0.0,0.0,0.0,3.71,1.86,50.0,0.0,0.0,92.31,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Joselito Soberano Jr.,30.27,FW,1.5,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Jul Aningalan,97.1,RB,75.4,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,25.95,22.25,3.71,0.0,0.0,5.32,7.42,4.63,4.63,2.78,2.78,92.69,10.2,1.85,0.0,0.0,7.42,5.56,75.0,0.0,0.0,85.71,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Kirvy Tabelin,95.2,CAM,52.4,0.0,DNP,San Beda University,0.0,0.0,1.89,0.95,0.0,22.69,17.02,5.67,0.0,0.0,-5.76,6.62,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,12.29,10.4,84.62,50.0,0.0,75.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Kurt Bacaycay,10.9,RW,15.0,0.0,DNP,San Beda University,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,-11.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,16,match_16_sbu_vs_up
Laurence Fernandez,94.97,RW,15.0,0.0,DNP,San Beda University,0.0,0.0,0.95,0.0,0.0,11.37,5.69,5.69,0.0,0.0,3.61,3.79,0.95,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,6.63,5.69,85.71,0.0,0.0,50.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Louie Bacnis,94.57,CDM,66.2,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,15.23,14.28,0.95,0.0,0.0,-0.34,6.66,7.61,5.71,0.95,0.95,95.17,10.47,2.86,0.0,0.95,2.86,1.9,66.67,0.0,0.0,93.75,0.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Pedro Tagara,96.72,GK,36.7,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,20.47,16.75,3.72,0.0,0.0,-1.27,7.44,0.93,0.93,0.0,0.0,0.0,5.58,0.93,0.0,2.79,0.0,0.0,0.0,0.0,0.0,81.82,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.86,2.79,2.79,1.86,33.33,0.93,1.86,2.79,0.33,16,match_16_sbu_vs_up
Pius Encaya,96.55,CF,40.9,0.0,DNP,San Beda University,0.0,0.0,0.93,0.0,0.0,10.25,8.39,1.86,0.0,0.0,-3.13,1.86,1.86,0.93,0.0,0.0,0.0,0.93,0.0,0.0,0.0,7.46,5.59,75.0,0.0,0.0,81.82,0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
Sam Salingay,95.32,CF,53.7,0.0,DNP,San Beda University,0.0,0.0,0.0,0.0,0.0,14.16,13.22,0.94,0.94,0.0,0.8,3.78,2.83,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,5.67,85.71,0.0,0.0,93.33,6.67,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,match_16_sbu_vs_up
